RecordID;RecordNumber;Journal;Year;Name of main author;Number of co-authors;Number of citations;Years of study;Number of years;Country of study;Spatial scale;Country of lead author (institution);Species / taxa;Taxa group1;Biological organisation;Scope;Study design;Clearly stated hypothesis;Test of existing hypothesis;Test multiple competing hypotheses;Testable predictions ;Generality: taxonomy;Generality: Environmental gradients;Ecological question;Extractor;Reference
133;326;BiolCons;2015;Buchalski;10;3;1992-2013;22;"USA; Mexico";Regional;USA;Ovis canadensis nelsoni;Vertebrates;Population;Ecological processes;Non experimental;0;0;0;0;0;1;"We used microsatellites and mtDNA to assess the population
genetics of PBS in the US–Mexico border region. Our specific objectives
were to (i) calculate standard measures of genetic diversity to
assess potential loss of variation due to past demographic declines;
(ii) characterize genetic structure within the PBS metapopulation
using additional molecular markers, updated analytical tools, and
contemporary samples from throughout the border region; and
(iii) make inference regarding the nature and extent of gene flow";DB;Buchalski, M.R., Navarro, A.Y., Boyce, W.M., Vickers, T.W., Tobler, M.W., Nordstrom, L.A., Garcia, J.A., Gille, D.A., Penedo, M.C.T., Ryder, O.A. & Ernest, H.B. (2015) Genetic population structure of Peninsular bighorn sheep (Ovis canadensis nelsoni) indicates substantial gene flow across US-Mexico border. Biological Conservation, 184, 218-228.
64;1477;BiolCons;2011;Croes;6;25;2008;1;Cameroon;Landscape;Netherlands;"Carnivora; lion; leopard; Spotted hyena";Vertebrates;Population;Ecological processes;Non experimental;1;0;0;0;1;1;"Considering the importance of hunting concessions in West and Central Africa, particularly in terms of proportional contribution of surface area to protected areas but also in terms of potential income generated through professional hunting (Lindsey, 2008), we
investigated the effects of long-term trophy hunting on lion populations in the Bénoué Complex. The study further offers important insights into population status of leopard and spotted hyena in relation to different management regimes. The results could serve
as a model to understand some of the factors contributing to the regional dramatic decline in large carnivore numbers.";EBN;Croes, B.M., Funston, P.J., Rasmussen, G., Buij, R., Saleh, A., Tumenta, P.N. & de Longh, H.H. (2011) The impact of trophy hunting on lions (Panthera leo) and other large carnivores in the Benoue Complex, northern Cameroon. Biological Conservation, 144, 3064-3072.
117;865;BiolCons;2013;Di Marco;3;12;NA;NA;Southeast Asia;Regional;Italy;Mammals;Vertebrates;Community;Methods;Non experimental;0;0;0;0;2;2;"Here we investigate the effect of adopting multiple proxies of a
species distribution and using different quantifications of a map
representing human impact, on species threat assessment";DB;Di Marco, M., Rondinini, C., Boitani, L. & Murray, K.A. (2013) Comparing multiple species distribution proxies and different quantifications of the human footprint map, implications for conservation. Biological Conservation, 165, 203-211.
40;1125;BiolCons;2013;Edwards;9;12;2008;1;Chile;Landscape;USA;Chelonoidis abingdoni;Vertebrates;Population;Natural history;Non experimental;0;0;0;0;0;0;"Here we investigate the presence of C. abingdoni
ancestry. Using the 2008 samples augmented by museum specimens
and sub-fossil remains from Pinta Island, we report the
detection of 17 individuals with C. abingdoni ancestry on VW.";EBN;Edwards, D.L., Benavides, E., Garrick, R.C., Gibbs, J.P., Russello, M.A., Dion, K.B., Hyseni, C., Flanagan, J.P., Tapia, W. & Caccone, A. (2013) The genetic legacy of Lonesome George survives: Giant tortoises with Pinta Island ancestry identified in Galapagos. Biological Conservation, 157, 225-228.
6;3528;BiolCons;2005;Gove;2;38;2001-2002;2;Mexico;Landscape;Australia;Formicidae;Invertebrates;Community;Ecological processes;Non experimental;0;0;0;0;0;1;"To understand how ant species composition and diversity might be conserved in the extensively degraded dry forest
landscapes of Mexico and beyond, and to most thoroughly
understand the value of these oV-reserve
habitats, we sample across strata and across seasons.
SpeciWcally, we aim to compare the conservation value
of isolated pasture trees and secondary regrowth with
that of small forest fragments and, at the other end of
the spectrum, open pasture.";EBN;Gove, A.D., Majer, J.D. & Rico-Gray, V. (2005) Methods for conservation outside of formal reserve systems: The case of ants in the seasonally dry tropics of Veracruz, Mexico. Biological Conservation, 126, 328-338.
68;3008;BiolCons;2007;Holmern;2;69;2004;1;Tanzania;Landscape;Norway;Carnivora;Vertebrates;Population;Ecological processes;Non experimental;0;0;0;0;0;1;"In this study, we explored through a questionnaire study the extent and impact of conflict between carnivores and agro-pastoralist outside the Serengeti National Park. Moreover, we quantify the perceived economic losses to local communities, and examine which factors
influenced the approval of retaliatory killing as a carnivore depredation deterrent, since this is a common but illegal practice in Tanzania that has serious mplications for carnivore persistence.";EBN;Holmern, T., Nyahongo, J. & Roskaft, E. (2007) Livestock loss caused by predators outside the Serengeti National Park, Tanzania. Biological Conservation, 135, 518-526.
63;2621;BiolCons;2008;Joseph;1;11;NA;NA;Australia;Landscape;Australia;Aves;Vertebrates;Population;Methods;Non experimental;0;0;0;0;2;2;"questionnaires, (4) to examine time benefits associated with the use of volunteer teams to
carry out comprehensive invertebrate surveys, and (5) to provide guidelines for the use of
volunteers for invertebrate surveys.";EBN;Joseph, L.N. & Possingham, H.P. (2008) Grid-based monitoring methods for detecting population declines: Sensitivity to spatial scale and consequences of scale correction. Biological Conservation, 141, 1868-1875.
136;655;BiolCons;2014;Liu;1;23;2012-2013;2;China;Local;China;Plants;Plants;Community;Ecological processes;Non experimental;3;1;0;1;1;1;"We hyWe hypothesize, based on observations in fragmented
landscapes mentioned earlier, that this expansion of rubber plantations
is spatially non-random and will result in remaining forest
fragments being located on less accessible, steeper, higher and shady
slopespothesize, based on observations in fragmented";DB;Liu, J.J. & Slik, J.W.F. (2014) Forest fragment spatial distribution matters for tropical tree conservation. Biological Conservation, 171, 99-106.
80;1784;BiolCons;2011;Martin;2;45;2007;1;"Canada; USA";Landscape;Australia;"Deer; Aves";Vertebrates;Community;Ecological processes;Non experimental;2;1;0;1;0;1;"Wepredicted that understory vegetation
cover would decline as deer density increased, leading to a
range of positive and negative effects on the relative abundance of
several focal bird species that vary in their reliance on understory
vegetation for feeding or nesting";DB;Martin, T.G., Arcese, P. & Scheerder, N. (2011) Browsing down our natural heritage: Deer impacts on vegetation structure and songbird populations across an island archipelago. Biological Conservation, 144, 459-469.
114;384;BiolCons;2015;McGrath;5;7;2010-2013;4;Australia;Landscape;Australia;Tympanocryptis pinguicolla;Vertebrates;Population;Methods;Non experimental;0;0;0;0;1;1;"Here, we use
occupancy modelling to estimate site occupancy and detection
probabilities with two aims: to provide a framework within which
to test hypotheses about the drivers of occupancy for T. pinguicolla
and as a means to investigate the effectiveness and application of
rock turning, a frequently used survey technique for detecting rare
or declining reptiles.";DB;McGrath, T., Guillera-Arroita, G., Lahoz-Monfort, J.J., Osborne, W., Hunter, D. & Sarre, S.D. (2015) Accounting for detectability when surveying for rare or declining reptiles: Turning rocks to find the Grassland Earless Dragon in Australia. Biological Conservation, 182, 53-62.
106;3652;BiolCons;2005;Perkins;1;12;NA;NA;USA;Landscape;USA;Plants;Plants;Community;Ecological processes;Quasi experimental;1;0;0;1;0;0;Here, we present evidence that Phalaris dramatically reduces plant species richness in impoundments created by beaver in Oregon, USA;DB;Perkins, T.E. & Wilson, M.V. (2005) The impacts of Phalaris arundinacea (reed canarygrass) invasion on wetland plant richness in the Oregon Coast Range, USA depend on beavers. Biological Conservation, 124, 291-295.
90;3370;BiolCons;2006;Piorecky;1;22;2001;1;Canada;Landscape;Canada;Glaucidium gnoma;Vertebrates;Population;Natural history;Non experimental;0;0;0;0;0;0;"this
study examined the influence of biophysical factors on the
distribution of northern pygmy owls";DB;Piorecky, M.D. & Prescott, D.R.C. (2006) Multiple spatial scale logistic and autologistic habitat selection models for northern pygmy owls, along the eastern slopes of Alberta's Rocky Mountains. Biological Conservation, 129, 360-371.
99;982;BiolCons;2013;Plue;1;19;2010-2011;2;Sweden;Landscape;Sweden;Plants;Plants;Community;Ecological processes;Non experimental;1;1;0;0;1;1;"This studysetsouttogatherdirectempiricalevidencetotestthe
hypothesis thatseedbanksarecriticaltotheprolongedpresence,
persistence andsurvivalofgrasslandspeciesinfragmentedland-
scapes";DB;Plue, J. & Cousins, S.A.O. (2013) Temporal dispersal in fragmented landscapes. Biological Conservation, 160, 250-262.
11;3247;BiolCons;2006;Rowe;6;10;2000-2001;2;UK;Landscape;UK;Plantae AND invertebrates;Mixed;Community;Ecological processes;Experimental;3;0;0;1;1;1;"The aim of the study was to test typical of more fertile habitats; (4) decreased abundance of
plant species typical of infertile habitats; (5) increased quality
of leaves as invertebrate food substrates; (6) increased foliar
invertebrate abundance and taxonomic diversity.
the hypotheses that on a nutrient-poor primary succession
site, improved nutrient availability leads to: (1) Increased plant
cover and biomass accumulation; (2) increased species richness
of the ground flora; (3) increased abundance of plant species";EBN;Rowe, E.C., Healey, J.R., Edwards-Jones, G., Hills, J., Howells, M. & Jones, D.L. (2006) Fertilizer application during primary succession changes the structure of plant and herbivore communities. Biological Conservation, 131, 510-522.
19;140;BiolCons;2015;Spehar;3;3;2012;1;Indonesia;Landscape;USA;Pongo pygmaeus;Vertebrates;Population;Methods;Non experimental;0;0;0;0;1;1;"Given their extensive use to estimate densities for other elusive
animals, we were interested in examining the applicability of camera
trapping and SCR modeling to orangutan populations. The purpose of
this studywas three-fold: 1) to evaluate the feasibility of using of camera
traps and SCRmodeling to estimate orangutan densities, using a population
of Northeast Bornean orangutans (P.p. morio) as a case study; 2) to
compare results obtained using camera trapping and SCR modeling to
those obtained using an established method (nest surveys); and 3) to
assess the advantages and disadvantages of both methods to make general
recommendations for researchers wishing to estimate population
parameters for orangutans and other elusive animals.";EBN;Spehar, S.N., Loken, B., Rayadin, Y. & Royle, J.A. (2015) Comparing spatial capture-recapture modeling and nest count methods to estimate orangutan densities in the Wehea Forest, East Kalimantan, Indonesia. Biological Conservation, 191, 185-193.
81;978;BiolCons;2013;Tanferna;4;18;2007-2009;3;Spain;Landscape;Spain;Milvus migrans;Vertebrates;Population;Ecological processes;Non experimental;0;0;0;0;1;1;"herewe:(1)examinethehomerangeand
habitat selectionofkitesofdifferentsexandstatus(breedersvs.
floaters) and(2)proposepotentialmanagementguidelinesbased
on theobtainedresults.";DB;Tanferna, A., Lopez-Jimenez, L., Blas, J., Hiraldo, F. & Sergio, F. (2013) Habitat selection by Black kite breeders and floaters: Implications for conservation management of raptor floaters. Biological Conservation, 160, 1-9.
60;921;BiolCons;2013;Terborgh;0;22;NA;NA;Peru;Landscape;USA;Plantea;Plants;Community;Ecological processes;Non experimental;3;1;0;1;1;2;"Given these circumstances, we used the J–C model to make 5 predictions about the ‘‘empty’’ forest in relation to a compositionally similar forest 90 km distant in the heart of the Manu National Park where the animal community was intact. (1) Decimation of major dispersers
should result in reduced dispersal, which, in turn, should lead to reduced sapling recruitment. (2) Reduced recruitment of zoochorous species should lead to enhanced recruitment of abiotically-dispersed species in compensation. (3) Predictions 1 and 2 lead to the third prediction which is that community composition should change. (4) Large-seeded species should predominate among those
showing the largest decrements in recruitment. (5) Compensatory seed predation should buffer escape curves from defaunation, as
reasoned above, implying no tendency of saplings to cluster closer to adults despite an expected increase in seed deposition near
adults.";EBN;Terborgh, J. (2013) Using Janzen-Connell to predict the consequences of defaunation and other disturbances of tropical forests. Biological Conservation, 163, 7-12.
92;460;BiolCons;2014;Toledo;3;13;NA;NA;Brazil;Landscape;Brazil;Frogs;Vertebrates;Population;Ecological processes;Non experimental;3;0;0;1;2;2;"In this study we assembled a database of Brazilian Atlantic forest
anurans, categorized according to components of rarity, and
quantified the relative impacts of the different forms of rarity on
formal endangerment.";DB;Toledo, L.F., Becker, C.G., Haddad, C.F.B. & Zamudio, K.R. (2014) Rarity as an indicator of endangerment in neotropical frogs. Biological Conservation, 179, 54-62.
65;3014;BiolCons;2007;Yates;4;27;2002-2004;3;Australia;Landscape;Australia;Calothamnus quadrifidus;Plants;Population;Ecological processes;Non experimental;3;0;0;1;1;1;"In this paper, we continue our studies of the genetic and
ecological factors affecting the viability of C. quadrifidus population fragments. Specifically we investigate fruit set, the number of seeds per fruit, seed germinability, seedling mortality and growth. We hypothesize that if highly mobile honeyeaters considerably extend the mating pool beyond the individual fragment rescuing small populations from the expected effects of inbreeding, as suggested by our gene-flow
study, then fruit set, seed production, seed germinability, seedling mortality and seedling growth will be unrelated to population fragment size. We discuss what our results mean";EBN;Yates, C.J., Elliott, C., Byrne, M., Coates, D.J. & Fairman, R. (2007) Seed production, germinability and seedling growth for a bird-pollinated shrub in fragments of kwongan in south-west Australia. Biological Conservation, 136, 306-314.
73;1888;ConsBiol;2006;Brawn;0;47;1995-1999;5;USA;Country;USA;Aves;Vertebrates;Community;Ecological processes;Non experimental;0;0;0;0;1;1;To further understand how savanna restoration and ecological disturbance affect bird populations, I compared the breeding densities, overall community structure, and reproductive success of birds in a series of restored savannas and comparatively undisturbed closed-canopy oak forests.;EBN;Brawn, J.D. (2006) Effects of restoring oak savannas on bird communities and populations. Conservation Biology, 20, 460-469.
75;873;ConsBiol;2010;Carroll;3;16;NA;NA;USA;Landscape;USA;"Martes pennanti; Monadenia churchi; Arborimus
longicaudus";Vertebrates;Population;Methods;Non experimental;1;0;0;0;2;2;"Bayesian spatial and nonspatial models built with artificial
data sets (Wintle & Bardos 2006; Dormann et al.
2007; Beale et al. 2010) or plant survey data (Latimer
et al. 2006, 2009) have been compared previously. We
(1) further developed and applied such techniques to a
set of multispecies faunal survey data typical of regional
planning efforts, (2) evaluated whether the use of spatial
models alters model selection and prediction, (3)
explored the contrasts between models using extensive
covariates derived from geographic information systems
(GIS) and those using covariatesmeasured in sparsely distributed
plots, and (4) developed and contrasted examples
of models for vertebrate and invertebrate taxa with
a range of dispersal abilities and territory sizes to assess
whether the utility of spatial models varies across spatial
scales.";EBN;Carroll, C., Johnson, D.S., Dunk, J.R. & Zielinski, W.J. (2010) Hierarchical Bayesian Spatial Models for Multispecies Conservation Planning and Monitoring. Conservation Biology, 24, 1538-1548.
72;938;ConsBiol;2010;Clark;3;80;NA;NA;USA;Country;USA;Crotalus horridus;Vertebrates;Population;Ecological processes;Non experimental;3;0;0;1;1;2;"We sampled timber rattlesnake
populations in contiguous and road-fragmented habitats to test the following predictions: populations in areas with more roads have reduced genetic diversity; separation of hibernacula by roads increases genetic differentiation; and these two patterns result specifically from fewer matings between individuals from hibernacula separated by roads. In general, we sought to reveal the degree to which roads may affect the population genetic structure of philopatric species with limited direct dispersal, and the mechanisms by which genetic connectivity in such systems can be interrupted.";EBN;Clark, R.W., Brown, W.S., Stechert, R. & Zamudio, K.R. (2010) Roads, Interrupted Dispersal, and Genetic Diversity in Timber Rattlesnakes. Conservation Biology, 24, 1059-1069.
156;2016;ConsBiol;2005;Cremene;6;131;2001;1;Romania;Landscape;"Romania; Switzerland";"Plants; Gastropods; Lepidoptera";Mixed;Community;Ecological processes;Non experimental;0;0;0;0;1;1;"We addressed the following questions: (1) Do different
successional stages of grassland abandonment differ
in species number, species abundance, and community
structure of plants, terrestrial gastropods, and diurnal
and nocturnal Lepidoptera? (2) How do the human-made
habitat alterations (abandoned vineyards and Pinus plantations)
affect these communities? (3) Do different successional
stages differ in the number of threatened (redlisted)
and endemic species? (4) To what extent is the
response to habitat changes of a particular group an indicator
for the other taxonomic groups?";DB;Cremene, C., Groza, G., Rakosy, L., Schileyko, A.A., Baur, A., Erhardt, A. & Baur, B. (2005) Alterations of steppe-like grasslands in Eastern Europe: a threat to regional biodiversity hotspots. Conservation Biology, 19, 1606-1618.
144;2121;ConsBiol;2005;Delaney;1;23;NA;NA;USA;Landscape;USA;Aphelocoma insularis;Vertebrates;Population;Ecological processes;Non experimental;3;1;0;1;1;0;Assessing the genetic variability and uniqueness of an island species is critical for its conservation. We sought to determine whether the Island Scrub-Jay lineage is genetically distinct by testing two hypotheses. ;DB;Delaney, K.S. & Wayne, R.K. (2005) Adaptive units for conservation: Population distinction and historic extinctions in the Island Scrub-Jay. Conservation Biology, 19, 523-533.
154;1907;ConsBiol;2006;Dixon;5;64;1998-2003;6;USA;Landscape;USA;"Ursus americanus
floridanus";Vertebrates;Population;Ecological processes;Non experimental;0;0;0;0;1;1;"Our objective was to evaluate the effectiveness of the
Osceola-Ocala corridor for the Florida black bear.We used
noninvasive sampling to obtain genetic material from
bears within the Osceola-Ocala corridor and from the
Osceola and Ocala populations. Population assignment
tests were used to assign individuals sampled from the
corridor to a population of origin (Ocala or Osceola)
based on their multilocus genotypes. These techniques
allowed us to characterize the dispersal of bears from
the source populations and identify gaps in connectivity
within the Osceola-Ocala corridor";DB;Dixon, J.D., Oli, M.K., Wooten, M.C., Eason, T.H., McCown, J.W. & Paetkau, D. (2006) Effectiveness of a regional corridor in connecting two Florida black bear populations. Conservation Biology, 20, 155-162.
59;1004;ConsBiol;2010;Drummond;6;11;NA;NA;Indonesia;Landscape;Australia;Mammalia;Vertebrates;Community;Methods;Non experimental;0;0;0;0;2;2;Using East Kalimantan as an example, we systematically evaluated the impact of these strategies in terms of their ecological and financial outcomes. We examined how explicitly protecting threatened species influences conservation planning in terms of cost efficiency and incidental cover for nonthreatened species. We also explored how different target-setting approaches influenced the spatial location and size of the reserve network. We set targets with percent-based and equitable approaches, the latter relying on an estimate of a minimum viable population size and home range.;EBN;Drummond, S.P., Wilson, K.A., Meijaard, E., Watts, M., Dennis, R., Christy, L. & Possingham, H.P. (2010) Influence of a Threatened-Species Focus on Conservation Planning. Conservation Biology, 24, 441-449.
149;1188;ConsBiol;2008;Farrington;3;18;1999-2005;7;USA;Landscape;USA;Panax quinquefolius;Plants;Population;Ecological processes;Non experimental;3;0;0;1;0;1;"we hypothesized that when harvesting pressure is high,
low levels of deer herbivory may actually benefit ginseng
populations";DB;Farrington, S.J., Muzika, R.M., Drees, D. & Knight, T.M. (2009) Interactive Effects of Harvest and Deer Herbivory on the Population Dynamics of American Ginseng. Conservation Biology, 23, 719-728.
1;1038;ConsBiol;2010;Flesch;5;21;2002-2005;4;USA AND Mexico;Landscape;USA;Glaucidium brasilianum AND Ovis canadensis;Vertebrates;Population;Ecological processes;Non experimental;0;0;0;0;1;1;"We assessed the influence of vegetation and landscape
structure on (a) flight and dispersal behaviors of Pygmy-
Owls, (b) movement rates and gene flow between two
populations of desert bighorn sheep and the simulated
effects of an impermeable border fence on regional interpopulation
connectivity, (c) other species likely to be
affected by border development, (d) and strategies to
conserve transboundary connectivity.";EBN;Flesch, A.D., Epps, C.W., Cain, J.W., Clark, M., Krausman, P.R. & Morgart, J.R. (2010) Potential Effects of the United States-Mexico Border Fence on Wildlife. Conservation Biology, 24, 171-181.
66;214;ConsBiol;2014;Hall;9;6;1990-2013;24;Tanzania;Landscape;USA;Forest;Plants;Ecosystem;Ecological processes;Non experimental;0;0;0;0;1;1;We analyzed this process from late 1990s to 2013. We determined whether the process was successful at balancing conservation and livelihood outcomes. With increasing interest in financial conservation mechanisms within the frame of payments for environmental services. The lessons which arise from this case study have broad relevance to the biological conservation and development communities who are applying monetary solutions to conservation challenges.;EBN;Hall, J.M., Burgess, N.D., Rantala, S., Vihemaki, H., Jambiya, G., Gereau, R.E., Makonda, F., Njilima, F., Sumbi, P. & Kizaji, A. (2014) Ecological and Social Outcomes of a New Protected Area in Tanzania. Conservation Biology, 28, 1512-1521.
159;1781;ConsBiol;2005;Laurance;7;156;2004;1;Gabon;Landscape;Panama;Mammals;Vertebrates;Community;Ecological processes;Non experimental;0;0;0;0;1;1;"We assessed the effects of roads and hunting on rainforest
mammals in southern Gabon. Our study offers some
important advantages over earlier published investigations
of hunting in this region.. This design allowed
us to quantitatively assess the relative effects of
roads and hunting (and their interaction) on different
species and guilds of mammals.";DB;Laurance, W.F., Croes, B.M., Tchignoumba, L., Lahm, S.A., Alonso, A., Lee, M.E., Campbell, P. & Ondzeano, C. (2006) Impacts of roads and hunting on central African rainforest mammals. Conservation Biology, 20, 1251-1261.
57;583;ConsBiol;2012;Mitchell;3;4;NA;NA;Australia;Local;Australia;Limnodynastes peronii;Vertebrates;Population;Ecological processes;Experimental;3;1;0;1;1;2;"Given that both UVBR and conspecific density
have independent, negative effects on developing
amphibians, we hypothesized that the effect of simultaneous exposure of striped marsh frog embryos and tadpoles to both stressors would be greater than the additive effect of each stressor.";EBN;Mitchell, T., Alton, L.A., White, C.R. & Franklin, C.E. (2012) Relations between Conspecific Density and Effects of Ultraviolet-B Radiation on Tadpole Size in the Striped Marsh Frog. Conservation Biology, 26, 1112-1120.
104;611;ConsBiol;2012;Molina-Montenegro;5;43;2007-2010;4;Antarctica;Landscape;Chile;Plants;Plants;Community;Ecological processes;Quasi experimental;0;0;0;0;0;0;"We studied the establishment and modest spread of
a non-native plant species, the annual bluegrass (Poa
annua [Poaceae]), at several sites on the Antarctic Peninsula.";DB;Molina-Montenegro, M.A., Carrasco-Urra, F., Rodrigo, C., Convey, P., Valladares, F. & Gianoli, E. (2012) Occurrence of the Non-Native Annual Bluegrass on the Antarctic Mainland and Its Negative Effects on Native Plants. Conservation Biology, 26, 717-723.
46;969;ConsBiol;2010;Moorhead;2;22;NA;NA;Mexico;Local;USA;Epiphytes;Plants;Community;Ecological processes;Non experimental;1;0;0;0;1;1;"We investigated the following
questions to examine, which, if any, system of
coffee management provides a higher-quality agricultural
matrix for epiphyte biodiversity: Is species richness and
species composition of epiphytes (overall and for certain
groups of epiphytes) different in forest and coffee
agroecosystems that differ in management intensity? Is
the vertical stratification of epiphytes different in forest
and coffee habitats that differ in management intensity?
Do changes in particular vegetation characteristics correlate with epiphyte richness? And does epiphyte richness, composition, and similarity between agricultural and forest species change at increasing distances from the forest in the two coffee management systems?";EBN;Moorhead, L.C., Philpott, S.M. & Bichier, P. (2010) Epiphyte Biodiversity in the Coffee Agricultural Matrix: Canopy Stratification and Distance from Forest Fragments. Conservation Biology, 24, 737-746.
158;780;ConsBiol;2011;Reid;1;24;2004-2005;2;USA;Landscape;USA;Canis lupus familiaris;Vertebrates;Population;Ecological processes;Non experimental;1;0;0;0;2;1;"We investigated the effects of human visitors and domestic
dogs on the species richness and abundance of
native mammalian carnivores in 28 protected areas in
northern California.";DB;Reed, S.E. & Merenlender, A.M. (2011) Effects of Management of Domestic Dogs and Recreation on Carnivores in Protected Areas in Northern California. Conservation Biology, 25, 504-513.
67;188;ConsBiol;2015;Stanley;10;28;2007-2013;7;USA;Regional;Canada;Hylocichla mustelina;Vertebrates;Population;Natural history;Non experimental;0;0;0;0;0;0;"We created the first regional and
species-level migratory networks for a songbird, and we quantified forest loss in its Neotropical wintering range. Threats at temperate breeding sites have been well studied (e.g., Hames et al. 2002); however, with information on migratory connectivity, threats from winter habitat loss can now be quantified for specific breeding populations. Our study provides an operational framework to assess habitat loss and protection on the wintering grounds for both specific breeding populations and for a species as a whole.";EBN;Stanley, C.Q., McKinnon, E.A., Fraser, K.C., Macpherson, M.P., Casbourn, G., Friesen, L., Marra, P.P., Studds, C.E., Ryder, T.B., Diggs, N.E. & Stutchbury, B.J.M. (2015) Connectivity of wood thrush breeding, wintering, and migration sites based on range-wide tracking. Conservation Biology, 29, 164-174.
134;1890;ConsBiol;2006;Strittholt;2;30;2000;1;USA;Country;USA;Plants;Plants;Community;Ecological processes;Non experimental;0;0;0;0;0;0;"Therefore, our objectives were to (1) determine the areal
extent of old (>150 years) and mature (50–150 years)
conifer forests with 2000 Landsat 7 Enhanced Thematic
Mapper Plus imagery, (2) examine levels of protection,
(3) determine the degree of additional protection that
would be afforded to old and mature conifer forests if LSRs
and inventoried roadless areas (IRAs) were granted increased
protection, and (4) review management options
to achieve greater protection for older forests";DB;Strittholt, J.R., DellaSala, D.A. & Jiang, H. (2006) Status of mature and old-growth forests in the Pacific Northwest. Conservation Biology, 20, 363-374.
97;358;ConsBiol;2013;Vidal;2;24;2001-2012;12;Mexico;Landscape;Mexico;Forest ;Plants;Ecosystem;Ecological processes;Non experimental;0;0;0;0;0;0;"We documented changes in forest cover in the reserve’s
core zones from 2001 to 2012 and provide recommendations
for conserving the habitat of this butterfly
in Mexico to ensure this unique migratory phenomenon
continues";DB;Vidal, O., Lopez-Garcia, J. & Rendon-Salinas, E. (2014) Trends in Deforestation and Forest Degradation after a Decade of Monitoring in the Monarch Butterfly Biosphere Reserve in Mexico. Conservation Biology, 28, 177-186.
33;1947;ConsBiol;2005;Wintle;4;60;;NA;Canada;Landscape;Australia;Certhia americana;Vertebrates;Population;Projection & forecasting;Non experimental;0;0;0;0;1;1;Our objective was to explore the utility of dynamic landscape metapopulation (DLMP) models as a tool for predicting the effect of alternative management scenarios on an indicator species. To evaluate this approach we developed a case study of the Brown Creeper (Certhia americana) in an actively managed, boreal landscape in north-central Ontario, Canada. We constructed a DLMP model in RAMAS Landscape and used it to evaluate and rank the sustainability of eight forest management scenarios in terms of their impact on the landscape-level abundance of the Brown Creeper over 160 years (two timber harvesting rotations based on current rotation lengths).;EBN;Wintle, B.A., Bekessy, S.A., Venier, L.A., Pearce, J.L. & Chisholm, R.A. (2005) Utility of dynamic-landscape metapopulation models for sustainable forest management. Conservation Biology, 19, 1930-1943.
140;37;EcolAppl;2007;Andersson;2;133;2005;1;Sweden;Landscape;Sweden;"Bumble bees; birds";Mixed;Ecosystem;Ecological processes;Non experimental;3;0;0;1;1;2;"Thus, we
hypothesized that the differences in organization and the
degree of freedom in decision-making between the green
areas would lead to differences in the managers’ sense of
place and willingness to increase their local ecological
knowledge and respond to environmental feedback. If
this is true, the corollary is that management practices
should differ as well";DB;Andersson, E., Barthel, S. & Ahrne, K. (2007) Measuring social-ecological dynamics behind the generation of ecosystem services. Ecological Applications, 17, 1267-1278.
28;118;EcolAppl;2013;Bennett;1;22;2005-2006;2;USA;Local;USA;Arthropoda;Invertebrates;Community;Ecological processes;Experimental;2;1;0;1;1;1;"The objective of this study was to examine the effect individual plant species and plant diversity have on beneficial arthropod communities (pollinators, predators, and parasitoids). The study focused on beneficial arthropods because this group is capable of providing managed landscapes with arthropod-mediated ecosystem services. Using a common-garden experiment, flowering plant diversity was manipulated by planting
each species singly and in combinations of either two- or seven-species per plot. Using the established plots, we asked: (1) Is the abundance, richness, and community composition of beneficial arthropods different between monocultures of individual flowering plant species? (2) Does increasing plant diversity increase beneficial
arthropod abundance and richness? (3) Does plant
diversity alter the composition of the arthropod
assemblages? Finally, we asked: (4) Are the arthropod assemblages found in multispecies plantings additive mixtures of the assemblages found in single-species plantings?";EBN;Bennett, A.B. & Gratton, C. (2013) Floral diversity increases beneficial arthropod richness and decreases variability in arthropod community composition. Ecological Applications, 23, 86-95.
160;145;EcolAppl;2005;Bjorndal;2;40;1975-2001;26;Bahamas;Country;USA;Turtles;Vertebrates;Population;Ecological processes;Non experimental;0;0;0;0;0;0;"We evaluate trends in abundance over time for
the two sampling populations in relation to other demographic
parameters of interest: survival and emigration
probabilities. We also evaluate those trends in
the context of the increasing trend reported for the nesting
population at Tortuguero, Costa Rica (Bjorndal et
al. 1999) and discuss the challenges of assessing population-
wide trends of immature green turtles in the
Greater Caribbean. The Tortuguero rookery is the largest
in the Greater Caribbean, by at least an order of
magnitude (Seminoff 2002), and is the primary rookery
source for the two sampling populations, based on
mtDNA sequence analyses (Lahanas et al. 1998; K. A.
Bjorndal and A. B. Bolten, unpublished data).";EBN;Bjorndal, K.A., Bolten, A.B. & Chaloupka, M.Y. (2005) Evaluating trends in abundance of immature green turtles, Chelonia mydas, in the Greater Caribbean. Ecological Applications, 15, 304-314.
